ImageFile,BalancingElements,ColorHarmony,Content,DoF,Light,MotionBlur,Object,Repetition,RuleOfThirds,Symmetry,VividColor,score
farm1_333_19438364933_087c8abc60_b.jpg,-0.2,0.2,-0.2,-0.4,0,0,-0.4,0,-0.2,0,0,0.3
farm1_452_19898743300_201156d984_b.jpg,0.2,0.4,0.6,-0.2,0.2,0,0.6,0,0.8,0,0.4,0.7
farm1_281_20247100976_c8141d3653_b.jpg,-0.2,0,0.4,-0.2,-0.4,0,-0.6,0,-0.4,0,0.6,0.4
farm1_448_19709457333_be4c6bb5eb_b.jpg,0,0.6,-0.6,-0.2,0,0,0.2,0.2,0,0,0.4,0.6
farm1_393_20179744375_c119001350_b.jpg,-0.2,0.6,0.4,0,-0.4,0,0.2,0,0,0,0.2,0.45
farm1_275_19803259169_c8b4c4c425_b.jpg,0.1,0.2,0.5,0.4,0,0,0.9,0,0.3,0,0,0.775
farm1_322_19703546844_24870f2139_b.jpg,0,0.4,0,-0.2,-0.2,0,0.6,0,0,0.4,0,0.5
farm1_465_20205184465_6258b8184e_b.jpg,-0.2,-0.2,-0.8,0,-0.2,-0.2,-1,0,-0.6,0,-0.4,0.2
farm1_365_20165810645_4f027d6d58_b.jpg,0,0,-0.8,-0.2,-0.4,0,-1,0,0,0,-0.8,0.2
farm4_3736_19541030833_e68fa6b476_b.jpg,0,0.4,0.4,-0.2,0.4,0,-0.4,0.2,-0.2,0,0.4,0.65
farm1_266_19542969634_b6e00123a9_b.jpg,0,0.4,0.8,0,0.4,0,0.8,0,-0.4,0,0,0.7
farm1_374_20169311965_cd1999615d_b.jpg,0,0.4,0,-0.2,0,0,0,0,0,0,0,0.125
farm1_448_19652562533_cbfc1b03f4_b.jpg,0,0.4,0.6,1,0.4,0,1,0,0.4,0,0.2,0.8
farm1_310_19662205244_97abc11b44_b.jpg,0,0.2,1,0,-0.2,0,0,0,0,0,0.6,0.5
farm1_371_20103563206_c43afaf204_b.jpg,0,0,0,0,0,0,-0.6,0.2,0.2,0.2,0,0.35
farm1_270_20162995535_e19aec345c_b.jpg,0.2,0.2,0.2,0,0,0,-0.2,0.2,0.2,0,-0.4,0.5
farm1_329_19644354494_230a779a0a_b.jpg,0.2,0.2,0.8,-0.4,0,-0.2,-0.6,0,0,0,0,0.55
farm1_316_20089403335_1e1e856fcd_b.jpg,0,0,0.2,0,-0.2,0,-0.2,0,0,0,0,0
farm1_360_20079168439_9d7cd69653_b.jpg,0,-0.2,-0.4,0.6,-0.4,0,0.6,0,-0.4,0,0.2,0.3
farm1_430_20153538306_85ca3d6cf1_b.jpg,-0.167,0,0,0,0.333,0,0,0.167,-0.167,0,0.333,0.458
farm1_303_19915308809_6a17db59a0_b.jpg,-0.6,0.6,0.2,0,-0.2,0,-0.4,0,0,0,0.2,0.4
farm1_288_20186039865_2e41e04580_b.jpg,0.2,0.2,0.2,0,0,0,-0.2,0,0,0,-0.2,0.5
farm1_359_19802808629_48c89237d7_b.jpg,0,-0.2,0.6,-0.2,0.4,0,-0.4,0,0,0.4,0.6,0.5
farm1_292_19969006558_524dd99c6d_b.jpg,0,0.6,0,-0.2,0.2,0,0.6,0,0,0,0.4,0.7
farm1_264_20077290145_18a477465b_b.jpg,0,0.2,-0.2,0,-0.2,0,-0.2,0,0.2,0,-0.2,0.4
farm1_314_19878171168_101148f768_b.jpg,0.2,0.8,1,0,0.2,0,-0.2,0,0.2,0,0.4,0.65
farm1_364_19582069183_c2862a4502_b.jpg,0,0.2,1,0,0.4,0,1,0,0,0.2,-0.2,0.6
farm1_337_20191319111_05bf40ecb8_b.jpg,0,0.2,-0.6,0.2,0.4,0,0.4,0,0.6,0,0.4,0.75
farm1_314_19555655583_7e4c4d652b_b.jpg,0.2,0.4,0.8,0.2,0,0.4,0.4,0,0,0,0.2,0.75
farm1_448_20193361245_85b744af7f_b.jpg,-0.1,0.1,0.3,0.2,-0.2,0,-0.4,0.2,0,0,0.4,0.5
farm1_301_20039647956_d24ab89d39_b.jpg,-0.2,0.6,0.4,-0.2,0.4,0,-0.6,0,0.4,0,-0.2,0.5
